05/23/2014, 25022686, 315 Dana St, http://www.zillow.com/homedetails/315-Dana-St-Fremont-CA-94539/25022686_zpid/, 1680000, 2226081, 5, 4.0, 3310, 6510, 2010
04/13/2010, 25022687, 323 Dana St, http://www.zillow.com/homedetails/323-Dana-St-Fremont-CA-94539/25022687_zpid/, 788000, 1419998, 4, 3.0, 2100, 5022, 1953
01/11/2008, 25022689, 335 Dana St, http://www.zillow.com/homedetails/335-Dana-St-Fremont-CA-94539/25022689_zpid/, 938000, 1251558, 4, 2.0, 1407, 5022, 1953
02/28/2002, 25022690, 341 Dana St, http://www.zillow.com/homedetails/341-Dana-St-Fremont-CA-94539/25022690_zpid/, 405000, 1096642, 3, 1.0, 1206, 5022, 1953
06/15/2012, 25022691, 347 Dana St, http://www.zillow.com/homedetails/347-Dana-St-Fremont-CA-94539/25022691_zpid/, 947000, 1115476, 3, 1.0, 1008, 5227, 1953
03/15/2017, 25022692, 353 Dana St, http://www.zillow.com/homedetails/353-Dana-St-Fremont-CA-94539/25022692_zpid/, 1150000, 1140978, 3, 1.0, 1008, 5022, 1953
09/17/1997, 25022693, 359 Dana St, http://www.zillow.com/homedetails/359-Dana-St-Fremont-CA-94539/25022693_zpid/, 285000, 1142177, 4, 1.0, 1288, 5022, 1953
None, 25022694, 405 Dana St, http://www.zillow.com/homedetails/405-Dana-St-Fremont-CA-94539/25022694_zpid/, None, 1143980, 3, 2.0, 1333, 5022, 1953
06/05/2003, 25022695, 411 Dana St, http://www.zillow.com/homedetails/411-Dana-St-Fremont-CA-94539/25022695_zpid/, 465000, 1088776, 3, 1.0, 1008, 5022, 1953
05/25/1995, 25022696, 417 Dana St, http://www.zillow.com/homedetails/417-Dana-St-Fremont-CA-94539/25022696_zpid/, 173000, 1089228, 3, 1.0, 1008, 5022, 1953
05/28/2008, 25022697, 423 Dana St, http://www.zillow.com/homedetails/423-Dana-St-Fremont-CA-94539/25022697_zpid/, 900000, 1295443, 4, 2.0, 1541, 5022, 1953
04/30/2015, 25022698, 429 Dana St, http://www.zillow.com/homedetails/429-Dana-St-Fremont-CA-94539/25022698_zpid/, 1055000, 1169488, 3, 1.0, 1008, 5858, 1953
08/14/1979, 25022699, 428 Dana St, http://www.zillow.com/homedetails/428-Dana-St-Fremont-CA-94539/25022699_zpid/, 68500, 1757038, 8, 2.5, 2674, 5859, 1953
09/21/2007, 25022700, 422 Dana St, http://www.zillow.com/homedetails/422-Dana-St-Fremont-CA-94539/25022700_zpid/, 872000, 1197939, 3, 2.0, 1258, 5022, 1953
